Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
nomao,GaussianNB,Baseline,1,0.109375,0.015625,37.489325523376465,0.013271331787109375,,0.9999999999999147,5651,2089,482,778,0.8586854441347456,0.670457085138452,642,227,58,73,0.8564936817568397,0.6840240027293552,
nomao,GaussianNB,Baseline,2,0.09375,0.015625,36.820823669433594,0.013135910034179688,,1.0,5843,1855,716,586,0.8201751846562146,0.640484257513481,634,195,90,81,0.7850766777082566,0.5765404522363636,
nomao,GaussianNB,Baseline,3,0.09375,0.015625,37.654805183410645,0.013309478759765625,,0.9999999999999989,5690,2051,520,739,0.8497473736851788,0.6669080040260351,624,233,52,91,0.8627432216905901,0.6658084599111139,
nomao,GaussianNB,Baseline,4,0.109375,0.015625,37.65458583831787,0.013309478759765625,,1.0,5743,2002,569,686,0.8430433822238896,0.6632569915509018,631,213,72,84,0.8192369034474298,0.6222737097115938,
nomao,GaussianNB,Baseline,5,0.09375,0.015625,37.49117183685303,0.013271331787109375,,1.0,5596,2129,441,834,0.8622002287429426,0.6715625610314748,613,232,54,101,0.8552109655050831,0.6421674480951629,
nomao,GaussianNB,Baseline,6,0.109375,0.015625,37.65790939331055,0.013309478759765625,,0.9999999999999716,5736,1992,578,694,0.8416528493019708,0.6585677647000289,645,233,53,69,0.8693536855301561,0.7067301277872066,
nomao,GaussianNB,Baseline,7,0.09375,0.015625,37.6581506729126,0.013309478759765625,,1.0,5713,2029,541,717,0.8475276397722253,0.6650638150771856,632,228,58,82,0.849711562946857,0.6667120299281707,
nomao,GaussianNB,Baseline,8,0.09375,0.015625,37.658936500549316,0.013309478759765625,,1.0,5740,1977,593,690,0.8378281220688528,0.6547594556987942,637,226,60,77,0.8505171299288946,0.6709840767933588,
nomao,GaussianNB,Baseline,9,0.09375,0.015625,37.657931327819824,0.013309478759765625,,0.9999999999999716,5746,2005,565,684,0.8443417891571003,0.66488296984396,636,217,69,78,0.8327432371550019,0.6435822839931298,
nomao,GaussianNB,Baseline,10,0.109375,0.015625,37.32435607910156,0.013233184814453125,,1.0,5823,1815,755,607,0.811393274473377,0.6231102039115114,658,197,89,56,0.8080522418757713,0.6344709250252029,
nomao,GaussianNB,IQR Capping,1,0.265625,0.046875,38.68547344207764,0.014229774475097656,,1.0,5525,2218,353,904,0.8781209088848245,0.685299998684596,625,243,42,90,0.8751245245982088,0.696113267856354,
nomao,GaussianNB,IQR Capping,2,0.265625,0.03125,38.13349437713623,0.014094352722167969,,0.9999999999999716,5780,1958,613,649,0.8387548786345227,0.6578899857152929,630,208,77,85,0.8074763832658569,0.6059446307416554,
nomao,GaussianNB,IQR Capping,3,0.28125,0.046875,38.820420265197754,0.014267921447753906,,1.0,5589,2156,415,840,0.8672006204383471,0.6786088554955266,617,245,40,98,0.8826769721506563,0.6871243840440026,
nomao,GaussianNB,IQR Capping,4,0.265625,0.046875,38.82016372680664,0.014267921447753906,,1.0,5632,2111,460,797,0.8612925956196031,0.6733610994555863,622,226,59,93,0.8404220341062446,0.6420410239937744,
nomao,GaussianNB,IQR Capping,5,0.28125,0.046875,38.68478870391846,0.014229774475097656,,1.0,5519,2223,347,911,0.8787118383549872,0.6857574572631517,610,248,38,104,0.8791404673757616,0.6826440923301192,
nomao,GaussianNB,IQR Capping,6,0.28125,0.03125,38.820162773132324,0.014267921447753906,,0.9999999999999432,5660,2089,481,770,0.8611975116640747,0.6724107009044596,636,241,45,78,0.8819734187381245,0.7110697618672062,
nomao,GaussianNB,IQR Capping,7,0.28125,0.046875,38.820210456848145,0.014267921447753906,,1.0,5614,2143,427,816,0.8669681877870633,0.6797230670571128,627,235,51,87,0.8630536130536131,0.676833172759903,
nomao,GaussianNB,IQR Capping,8,0.265625,0.046875,38.820393562316895,0.014267921447753906,,0.9999999999999989,5635,2085,485,795,0.8561582078171993,0.6658314293077711,621,240,46,93,0.8703453409335763,0.679731534498998,
nomao,GaussianNB,IQR Capping,9,0.28125,0.046875,38.820061683654785,0.014267921447753906,,1.0,5651,2108,462,779,0.8612631088465426,0.6764722032805783,628,235,51,86,0.8599758085052203,0.6787428928455881,
nomao,GaussianNB,IQR Capping,10,0.28125,0.046875,38.54543876647949,0.014191627502441406,,1.0,5754,1917,653,676,0.8292202467761163,0.6390780033314595,654,209,77,60,0.8273515699986288,0.6590586633866954,
nomao,GaussianNB,Quantile Capping,1,0.34375,0.0625,37.546305656433105,0.014990806579589844,,0.999999999999801,5646,2091,480,783,0.8612343644872009,0.6700227503889222,642,227,58,73,0.856233590970433,0.6840240027293552,
nomao,GaussianNB,Quantile Capping,2,0.34375,0.0625,36.879058837890625,0.014855384826660156,,1.0,5827,1868,703,602,0.8219607780502087,0.640724805108666,634,199,86,81,0.7908600171758067,0.5881059057643208,
nomao,GaussianNB,Quantile Capping,3,0.34375,0.078125,37.71289825439453,0.015028953552246094,,1.0,5675,2056,515,754,0.8500652702931867,0.6652244879278018,623,234,51,92,0.8641663599558337,0.6667791855573282,
nomao,GaussianNB,Quantile Capping,4,0.359375,0.0625,37.71291255950928,0.015028953552246094,,0.9999999999999432,5743,2006,565,686,0.846267692962394,0.6645091088286914,630,214,71,85,0.8280579070052754,0.6231537720996978,
