Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
pc3,GaussianNB,Baseline,1.0,0.015625,0.015625,1.421308517456055,0.0048503875732421,0.99999985108068,98.0,1022.0,240.0,46.0,0.7990788431061807,0.3479371364224351,11.0,117.0,24.0,5.0,0.8395390070921985,0.3759995895806157,
pc3,GaussianNB,Baseline,2.0,0.015625,0.0,1.4188909530639648,0.0048503875732421,0.9999999999816972,95.0,1047.0,215.0,49.0,0.7888107501320656,0.3578913853689651,7.0,119.0,22.0,9.0,0.6622340425531915,0.2194321174142706,
pc3,GaussianNB,Baseline,3.0,0.015625,0.0,1.4190788269042969,0.0048503875732421,1.0,117.0,866.0,396.0,27.0,0.7544682162352527,0.3141062981212374,11.0,100.0,41.0,5.0,0.6522606382978724,0.2550099736071693,
pc3,GaussianNB,Baseline,4.0,0.015625,0.015625,1.4202184677124023,0.0048503875732421,0.9999999999908809,88.0,1083.0,180.0,56.0,0.7890494413653559,0.3617010201302995,6.0,122.0,18.0,10.0,0.7080357142857143,0.2072156164199785,
pc3,GaussianNB,Baseline,5.0,0.015625,0.0,1.4202260971069336,0.0048503875732421,0.9999999999806116,83.0,1092.0,171.0,61.0,0.7768403052696402,0.3475257664890847,12.0,118.0,22.0,4.0,0.9,0.4356670269470956,
pc3,GaussianNB,Baseline,6.0,0.015625,0.015625,1.4200820922851562,0.0048503875732421,0.9999999999878274,83.0,1092.0,171.0,61.0,0.7875098970704671,0.3475257664890847,10.0,117.0,23.0,6.0,0.7754464285714285,0.3422521322279392,
pc3,GaussianNB,Baseline,7.0,0.015625,0.0,1.4202184677124023,0.0048503875732421,0.9999999999664718,89.0,1084.0,179.0,55.0,0.7879167766341164,0.3676724992362243,8.0,116.0,24.0,8.0,0.8046875,0.2468698046761278,
pc3,GaussianNB,Baseline,8.0,0.015625,0.0,1.4201736450195312,0.0048503875732421,0.9999999999894752,91.0,1058.0,205.0,53.0,0.7831359417612387,0.3492514112927536,6.0,123.0,17.0,10.0,0.7071428571428571,0.2169874359905687,
pc3,GaussianNB,Baseline,9.0,0.015625,0.0,1.4200029373168943,0.0048503875732421,0.9999999999532428,91.0,1058.0,205.0,53.0,0.7877985616257588,0.3492514112927536,12.0,118.0,22.0,4.0,0.8133928571428571,0.4356670269470956,
pc3,GaussianNB,Baseline,10.0,0.015625,0.0,1.4199542999267578,0.0048503875732421,0.9999999999872424,90.0,1057.0,206.0,54.0,0.7803537652854755,0.3434982269333598,11.0,115.0,25.0,5.0,0.7620535714285714,0.3664704561599682,
