Dataset,Model,Preprocessor,Perspective,Peak_Memory_MB,Pipeline_Disk_Size_MB,Fit_Time_sec,Predict_Time_Test_sec,Converged,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_ROC_AUC,Test_PR_AUC,Test_MCC
Bioresponse,GNB,Baseline,Equality,291.9683208465576,0.1509532928466797,1.7986279444432713,0.15593875557856837,,0.7513941788228118,0.695220730660817,0.27860194051625364,0.7168474033981127,0.6532735891867091,0.23704857531717663
Bioresponse,GNB,Baseline,Equity,291.969690322876,13.708724975585938,15.10377948885111,0.7721619666554034,,0.7442112145041496,0.6869352637879347,0.3262220090338655,0.7119672390732532,0.6497775970823414,0.28385334049633093
Bioresponse,GNB,IQR Capping,Equality,291.9696292877197,0.1679010391235351,3.078111211109596,0.5154072999721393,,0.7479095340349624,0.6914085850290832,0.2684537444970975,0.7122221553426259,0.6486844432175333,0.22048379226489684
Bioresponse,GNB,IQR Capping,Equity,291.9709663391113,13.725672721862791,16.425959411128943,1.0316101555816002,,0.7450663664585698,0.6870216071180899,0.32809798740640117,0.7134485988151503,0.6519969285095732,0.28809123589688773
Bioresponse,GNB,IQR Removal,Equality,291.9695158004761,0.1511383056640625,7.071585566672082,0.13200184445466012,,0.5669243644561986,0.4947367511839211,0.10978077704386821,0.5538771843766137,0.4866709906409484,0.08427541538414167
Bioresponse,GNB,IQR Removal,Equity,291.9709815979004,2.496909141540528,7.96556878891877,0.7343256444566779,,0.5756717758911667,0.5020725590514978,0.12569538967383456,0.5591267039978622,0.4913007770457908,0.09146366201741471
Bioresponse,GNB,LDA,Equality,370.4608678817749,0.1382169723510742,15.47743378888764,0.04571061109244404,,0.9798108551253847,0.977888033240022,0.8622923596241499,0.7359340795224376,0.6485088544038249,0.4366242117234697
Bioresponse,GNB,LDA,Equity,370.4619674682617,0.1538028717041015,15.60770357775295,0.05160611111205066,,0.9798108551253847,0.977888033240022,0.8618006778146361,0.7331361645494356,0.6490224482641972,0.4339662168952403
Bioresponse,GNB,MinMax Scaling,Equality,291.96948623657227,0.219125747680664,1.8094630555456712,0.1558242000173777,,0.7514058746761982,0.6952962887728459,0.2784494253867197,0.7168474033981127,0.6532735891867091,0.23704857531717663
Bioresponse,GNB,MinMax Scaling,Equity,291.97119140625,13.776873588562012,15.030918500011062,0.7443340222299513,,0.7442112145041496,0.6869352637879347,0.3262220090338655,0.7119672390732532,0.6497775970823414,0.28385334049633093
Bioresponse,GNB,PCA (Raw),Equality,303.7531394958496,4.757867813110352,15.073742122234156,0.07897291108707168,,0.7481079675889889,0.6755579289404957,0.38366095179624293,0.697608462564155,0.6131799696695392,0.3077717587998722
Bioresponse,GNB,PCA (Raw),Equity,303.7539949417114,7.382717132568359,17.845157388869364,0.1984095444333636,,0.8046838321012011,0.7611644852208054,0.4811355317130369,0.754671315913545,0.6942931532194703,0.38324564518930965
