Dataset,Model,Preprocessor,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
climate-model-simulation-crashes,GaussianNB,Standard Scaling,1,,0.0227367999996204,0.0064970000003086,0.5392951965332031,0.0041465759277343,22.0,443.0,2.0,19.0,0.9650315154836944,0.8898739641950959,0.6825448987970256,3.0,49.0,0.0,2.0,0.9959183673469388,0.9666666666666666,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,Standard Scaling,2,,0.0075467000006028,0.0036632000010285,,,25.0,445.0,0.0,16.0,0.9676075637160868,0.9042690669129266,0.7671982769318432,1.0,49.0,0.0,4.0,0.96734693877551,0.6961904761904762,0.4300065817837658,
climate-model-simulation-crashes,GaussianNB,Standard Scaling,3,,0.0071915999997145,0.0033755999993445,,,24.0,444.0,1.0,17.0,0.9672238969580708,0.8998000677843203,0.733682918496888,2.0,49.0,0.0,3.0,0.9959183673469388,0.9666666666666666,0.6139406135149205,
climate-model-simulation-crashes,GaussianNB,Standard Scaling,4,,0.0063332999998237,0.0037307999991753,,,23.0,445.0,0.0,18.0,0.969909564264182,0.9164858551614956,0.7342796625045116,3.0,49.0,0.0,2.0,0.9591836734693878,0.8314285714285714,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,Standard Scaling,5,,0.0069231999987096,0.0035524000013538,,,23.0,444.0,1.0,18.0,0.9681556590846806,0.9115244666844224,0.7167143282176431,4.0,49.0,0.0,1.0,0.9877551020408164,0.925,0.8854377448471462,
climate-model-simulation-crashes,GaussianNB,Standard Scaling,6,,0.0069306000004871,0.0025688999994599,,,26.0,443.0,2.0,15.0,0.9664565634420388,0.8933372046988137,0.7510359714529097,3.0,49.0,0.0,2.0,0.9755102040816326,0.8909090909090909,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,Standard Scaling,7,,0.0083427999998093,0.0024199000017688,,,27.0,443.0,1.0,15.0,0.9886851136851136,0.9127369444919936,0.772493129415551,1.0,49.0,1.0,3.0,0.735,0.5192307692307692,0.3189526128295067,
climate-model-simulation-crashes,GaussianNB,Standard Scaling,8,,0.0061351999993348,0.0035035000000789,,,27.0,443.0,1.0,15.0,0.9673959673959672,0.903256948660062,0.772493129415551,0.0,50.0,0.0,4.0,0.895,0.517156862745098,0.0,
climate-model-simulation-crashes,GaussianNB,Standard Scaling,9,,0.0073412999990978,0.0023485000001528,,,25.0,442.0,2.0,17.0,0.9692192192192192,0.906185898007946,0.7246354428928556,2.0,50.0,0.0,2.0,0.985,0.8928571428571428,0.6933752452815364,
climate-model-simulation-crashes,GaussianNB,Standard Scaling,10,,0.0065498000003572,0.003415600000153,,,26.0,443.0,1.0,16.0,0.9657335907335908,0.9014056144117724,0.756604653608717,1.0,50.0,0.0,3.0,1.0,1.0,0.485642931178632,
climate-model-simulation-crashes,GaussianNB,MinMax Scaling,1,,0.0199683999999251,0.0039689000004727,0.5391998291015625,0.0044994354248046,22.0,443.0,2.0,19.0,0.9650315154836944,0.8898739641950959,0.6825448987970256,3.0,49.0,0.0,2.0,0.9959183673469388,0.9666666666666666,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,MinMax Scaling,2,,0.0070480000013048,0.0035121000000799,,,25.0,445.0,0.0,16.0,0.9676075637160868,0.9042690669129266,0.7671982769318432,1.0,49.0,0.0,4.0,0.96734693877551,0.6961904761904762,0.4300065817837658,
climate-model-simulation-crashes,GaussianNB,MinMax Scaling,3,,0.0079817999994702,0.0023734000005788,,,24.0,444.0,1.0,17.0,0.9672238969580708,0.8998000677843203,0.733682918496888,2.0,49.0,0.0,3.0,0.9959183673469388,0.9666666666666666,0.6139406135149205,
climate-model-simulation-crashes,GaussianNB,MinMax Scaling,4,,0.0066900999991048,0.0037534000002779,,,23.0,445.0,0.0,18.0,0.969909564264182,0.9164858551614956,0.7342796625045116,3.0,49.0,0.0,2.0,0.9591836734693878,0.8314285714285714,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,MinMax Scaling,5,,0.0079523999993398,0.0034699000007094,,,23.0,444.0,1.0,18.0,0.9681556590846806,0.9115244666844224,0.7167143282176431,4.0,49.0,0.0,1.0,0.9877551020408164,0.925,0.8854377448471462,
climate-model-simulation-crashes,GaussianNB,MinMax Scaling,6,,0.0082529000010254,0.0031921999998303,,,26.0,443.0,2.0,15.0,0.9664565634420388,0.8933372046988137,0.7510359714529097,3.0,49.0,0.0,2.0,0.9755102040816326,0.8909090909090909,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,MinMax Scaling,7,,0.0091573999998217,0.0038182000007509,,,27.0,443.0,1.0,15.0,0.9886851136851136,0.9127369444919936,0.772493129415551,1.0,49.0,1.0,3.0,0.735,0.5192307692307692,0.3189526128295067,
climate-model-simulation-crashes,GaussianNB,MinMax Scaling,8,,0.0088013000004139,0.0034752999999909,,,27.0,443.0,1.0,15.0,0.9673959673959672,0.903256948660062,0.772493129415551,0.0,50.0,0.0,4.0,0.895,0.517156862745098,0.0,
climate-model-simulation-crashes,GaussianNB,MinMax Scaling,9,,0.0089571999997133,0.003762899999856,,,25.0,442.0,2.0,17.0,0.9692192192192192,0.906185898007946,0.7246354428928556,2.0,50.0,0.0,2.0,0.985,0.8928571428571428,0.6933752452815364,
climate-model-simulation-crashes,GaussianNB,MinMax Scaling,10,,0.007684700000027,0.0026383000003988,,,26.0,443.0,1.0,16.0,0.9657335907335908,0.9014056144117724,0.756604653608717,1.0,50.0,0.0,3.0,1.0,1.0,0.485642931178632,
climate-model-simulation-crashes,GaussianNB,IQR Capping,1,,0.0811165000013716,0.0161282999997638,0.5392074584960938,0.0042333602905273,22.0,443.0,2.0,19.0,0.9650315154836944,0.8898739641950959,0.6825448987970256,3.0,49.0,0.0,2.0,0.9959183673469388,0.9666666666666666,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,IQR Capping,2,,0.0358054999996966,0.018728099999862,,,25.0,445.0,0.0,16.0,0.9676075637160868,0.9042690669129266,0.7671982769318432,1.0,49.0,0.0,4.0,0.96734693877551,0.6961904761904762,0.4300065817837658,
climate-model-simulation-crashes,GaussianNB,IQR Capping,3,,0.0416121999987808,0.0232267999999749,,,24.0,444.0,1.0,17.0,0.9672238969580708,0.8998000677843203,0.733682918496888,2.0,49.0,0.0,3.0,0.9959183673469388,0.9666666666666666,0.6139406135149205,
climate-model-simulation-crashes,GaussianNB,IQR Capping,4,,0.0401099999999132,0.0182690000001457,,,23.0,445.0,0.0,18.0,0.969909564264182,0.9164858551614956,0.7342796625045116,3.0,49.0,0.0,2.0,0.9591836734693878,0.8314285714285714,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,IQR Capping,5,,0.0403263000007427,0.0242207000010239,,,23.0,444.0,1.0,18.0,0.9681556590846806,0.9115244666844224,0.7167143282176431,4.0,49.0,0.0,1.0,0.9877551020408164,0.925,0.8854377448471462,
climate-model-simulation-crashes,GaussianNB,IQR Capping,6,,0.0425791000016033,0.0211806999996042,,,26.0,443.0,2.0,15.0,0.9664565634420388,0.8933372046988137,0.7510359714529097,3.0,49.0,0.0,2.0,0.9755102040816326,0.8909090909090909,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,IQR Capping,7,,0.0360252000009495,0.0229816000010032,,,27.0,443.0,1.0,15.0,0.9886851136851136,0.9127369444919936,0.772493129415551,1.0,49.0,1.0,3.0,0.735,0.5192307692307692,0.3189526128295067,
climate-model-simulation-crashes,GaussianNB,IQR Capping,8,,0.0425185000003693,0.018395999999484,,,27.0,443.0,1.0,15.0,0.9673959673959672,0.903256948660062,0.772493129415551,0.0,50.0,0.0,4.0,0.895,0.517156862745098,0.0,
climate-model-simulation-crashes,GaussianNB,IQR Capping,9,,0.0349610000012035,0.0198168000006262,,,25.0,442.0,2.0,17.0,0.9692192192192192,0.906185898007946,0.7246354428928556,2.0,50.0,0.0,2.0,0.985,0.8928571428571428,0.6933752452815364,
climate-model-simulation-crashes,GaussianNB,IQR Capping,10,,0.03688719999991,0.0176713000000745,,,26.0,443.0,1.0,16.0,0.9657335907335908,0.9014056144117724,0.756604653608717,1.0,50.0,0.0,3.0,1.0,1.0,0.485642931178632,
climate-model-simulation-crashes,GaussianNB,IQR Capping + Scaling,1,,0.0788565000002563,0.0166251999999076,0.5406131744384766,0.004892349243164,22.0,443.0,2.0,19.0,0.9650315154836944,0.8898739641950959,0.6825448987970256,3.0,49.0,0.0,2.0,0.9959183673469388,0.9666666666666666,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,IQR Capping + Scaling,2,,0.0387338000000454,0.0244022000006225,,,25.0,445.0,0.0,16.0,0.9676075637160868,0.9042690669129266,0.7671982769318432,1.0,49.0,0.0,4.0,0.96734693877551,0.6961904761904762,0.4300065817837658,
